# IP addresses taken from the NSO list generated by Amnesty from https://raw.githubusercontent.com/AmnestyTech/investigations/master/2018-08-01_nso/indicators.csv
# "Number","IP address","Rating", "Description"
"333","217.112.131.61","100","NSO IP by Amnesty"
"334","185.44.105.35","100","NSO IP by Amnesty"
"335","81.92.202.215","100","NSO IP by Amnesty"
"336","88.150.227.118","100","NSO IP by Amnesty"
"337","109.200.24.71","100","NSO IP by Amnesty"
"338","176.223.111.231","100","NSO IP by Amnesty"
"339","185.225.68.201","100","NSO IP by Amnesty"
"340","185.225.68.200","100","NSO IP by Amnesty"
"341","109.200.24.19","100","NSO IP by Amnesty"
"342","109.200.24.64","100","NSO IP by Amnesty"
"343","185.225.68.5","100","NSO IP by Amnesty"
"344","194.187.249.106","100","NSO IP by Amnesty"
"345","88.150.227.104","100","NSO IP by Amnesty"
"346","103.199.16.11","100","NSO IP by Amnesty"
"347","185.141.26.18","100","NSO IP by Amnesty"
"348","185.225.68.135","100","NSO IP by Amnesty"
"349","217.112.131.16","100","NSO IP by Amnesty"
"350","200.7.97.215","100","NSO IP by Amnesty"
"351","200.7.97.248","100","NSO IP by Amnesty"
"352","185.117.72.10","100","NSO IP by Amnesty"
"353","89.249.65.138","100","NSO IP by Amnesty"
"354","130.185.250.199","100","NSO IP by Amnesty"
"355","103.199.16.111","100","NSO IP by Amnesty"
"356","109.200.24.126","100","NSO IP by Amnesty"
"357","217.112.131.39","100","NSO IP by Amnesty"
"358","62.113.232.197","100","NSO IP by Amnesty"
"359","217.61.4.34","100","NSO IP by Amnesty"
"360","192.52.243.110","100","NSO IP by Amnesty"
"361","103.199.16.15","100","NSO IP by Amnesty"
"362","31.3.232.108","100","NSO IP by Amnesty"
"363","185.225.68.177","100","NSO IP by Amnesty"
"364","77.73.65.210","100","NSO IP by Amnesty"
"365","5.102.145.14","100","NSO IP by Amnesty"
"366","179.43.169.8","100","NSO IP by Amnesty"
"367","52.54.37.95","100","NSO IP by Amnesty"
"368","185.94.189.204","100","NSO IP by Amnesty"
"369","5.102.147.235","100","NSO IP by Amnesty"
"370","5.102.146.124","100","NSO IP by Amnesty"
"371","109.200.24.102","100","NSO IP by Amnesty"
"372","185.82.202.29","100","NSO IP by Amnesty"
"373","185.181.10.64","100","NSO IP by Amnesty"
"374","185.109.168.12","100","NSO IP by Amnesty"
"375","88.119.179.102","100","NSO IP by Amnesty"
"376","109.200.24.11","100","NSO IP by Amnesty"
"377","88.150.227.77","100","NSO IP by Amnesty"
"378","185.109.168.18","100","NSO IP by Amnesty"
"379","88.119.179.168","100","NSO IP by Amnesty"
"380","217.112.131.137","100","NSO IP by Amnesty"
"381","200.7.111.124","100","NSO IP by Amnesty"
"382","185.134.29.144","100","NSO IP by Amnesty"
"383","185.243.112.77","100","NSO IP by Amnesty"
"384","88.119.179.164","100","NSO IP by Amnesty"
"385","87.121.98.39","100","NSO IP by Amnesty"
"386","154.16.37.11","100","NSO IP by Amnesty"
"387","38.132.118.114","100","NSO IP by Amnesty"
"388","89.40.181.124","100","NSO IP by Amnesty"
"389","185.225.68.206","100","NSO IP by Amnesty"
"390","192.161.48.122","100","NSO IP by Amnesty"
"391","38.132.114.168","100","NSO IP by Amnesty"
"392","185.198.58.143","100","NSO IP by Amnesty"
"393","130.185.250.201","100","NSO IP by Amnesty"
"394","89.249.65.149","100","NSO IP by Amnesty"
"395","103.199.16.12","100","NSO IP by Amnesty"
"396","185.141.27.123","100","NSO IP by Amnesty"
"397","89.40.181.125","100","NSO IP by Amnesty"
